episode;reward1;avg_reward1;t_global;cr
172;35.0;24.2;5948.0;2973.0
173;46.0;24.5;6040.0;3019.0
174;82.0;25.1;6204.0;3101.0
175;110.0;26.1;6424.0;3211.0
176;69.0;26.6;6562.0;3280.0
177;64.0;27.1;6690.0;3344.0
178;30.0;27.0;6750.0;3374.0
179;96.0;27.8;6942.0;3470.0
180;37.0;28.1;7016.0;3507.0
181;35.0;28.1;7086.0;3542.0
182;81.0;28.8;7248.0;3623.0
183;46.0;29.1;7340.0;3669.0
184;37.0;29.3;7414.0;3706.0
185;80.0;29.8;7574.0;3786.0
186;103.0;30.7;7780.0;3889.0
187;107.0;31.5;7994.0;3996.0
188;81.0;32.1;8156.0;4077.0
189;56.0;32.6;8268.0;4133.0
190;57.0;33.0;8382.0;4190.0
191;11.0;33.0;8404.0;4201.0
192;32.0;33.2;8468.0;4233.0
193;39.0;33.3;8546.0;4272.0
194;17.0;33.3;8580.0;4289.0
195;78.0;33.8;8736.0;4367.0
196;72.0;34.3;8880.0;4439.0
197;74.0;34.9;9028.0;4513.0
198;97.0;35.7;9222.0;4610.0
199;62.0;36.2;9346.0;4672.0
200;60.0;36.6;9466.0;4732.0
201;64.0;37.2;9594.0;4796.0
202;102.0;38.0;9798.0;4898.0
203;118.0;39.1;10034.0;5016.0
204;59.0;39.3;10152.0;5075.0
205;152.0;40.4;10456.0;5227.0
206;74.0;40.9;10604.0;5301.0
207;105.0;41.8;10814.0;5406.0
208;40.0;42.1;10894.0;5446.0
209;42.0;42.4;10978.0;5488.0
210;62.0;42.9;11102.0;5550.0
211;43.0;43.2;11188.0;5593.0
212;48.0;43.5;11284.0;5641.0
213;73.0;43.8;11430.0;5714.0
214;56.0;44.2;11542.0;5770.0
215;41.0;44.4;11624.0;5811.0
216;21.0;44.2;11666.0;5832.0
217;49.0;44.6;11764.0;5881.0
218;40.0;44.9;11844.0;5921.0
219;13.0;44.9;11870.0;5934.0
220;58.0;45.4;11986.0;5992.0
221;132.0;46.2;12250.0;6124.0
222;78.0;46.9;12406.0;6202.0
223;96.0;47.8;12598.0;6298.0
224;200.0;49.6;12998.0;6498.0
225;60.0;50.0;13118.0;6558.0
226;61.0;50.2;13240.0;6619.0
227;45.0;50.4;13330.0;6664.0
228;74.0;51.0;13478.0;6738.0
229;85.0;51.6;13648.0;6823.0
230;42.0;51.8;13732.0;6865.0
231;60.0;52.2;13852.0;6925.0
232;75.0;52.6;14002.0;7000.0
233;43.0;52.9;14088.0;7043.0
234;73.0;53.5;14234.0;7116.0
235;45.0;53.6;14324.0;7161.0
236;193.0;55.3;14710.0;7354.0
237;85.0;55.9;14880.0;7439.0
