episode;reward0;avg_reward0;t_global;cr
174;38.0;23.9;3008.0;3007.0
175;36.0;24.1;3044.0;3043.0
176;76.0;24.7;3120.0;3119.0
177;34.0;24.9;3154.0;3153.0
178;42.0;25.1;3196.0;3195.0
179;47.0;25.5;3243.0;3242.0
180;29.0;25.5;3272.0;3271.0
181;29.0;25.0;3301.0;3300.0
182;64.0;25.2;3365.0;3364.0
183;38.0;25.4;3403.0;3402.0
184;93.0;26.2;3496.0;3495.0
185;55.0;26.6;3551.0;3550.0
186;55.0;26.9;3606.0;3605.0
187;38.0;27.1;3644.0;3643.0
188;55.0;27.6;3699.0;3698.0
189;70.0;28.2;3769.0;3768.0
190;90.0;29.0;3859.0;3858.0
191;46.0;29.2;3905.0;3904.0
192;41.0;29.5;3946.0;3945.0
193;127.0;30.6;4073.0;4072.0
194;43.0;30.8;4116.0;4115.0
195;26.0;30.9;4142.0;4141.0
196;73.0;31.5;4215.0;4214.0
197;31.0;31.7;4246.0;4245.0
198;58.0;32.1;4304.0;4303.0
199;15.0;32.1;4319.0;4318.0
200;42.0;32.4;4361.0;4360.0
201;59.0;32.7;4420.0;4419.0
202;74.0;33.3;4494.0;4493.0
203;74.0;33.9;4568.0;4567.0
204;30.0;34.0;4598.0;4597.0
205;77.0;34.6;4675.0;4674.0
206;123.0;35.6;4798.0;4797.0
207;58.0;36.1;4856.0;4855.0
208;63.0;36.5;4919.0;4918.0
209;61.0;36.8;4980.0;4979.0
210;61.0;37.3;5041.0;5040.0
211;87.0;38.0;5128.0;5127.0
212;54.0;38.4;5182.0;5181.0
213;161.0;39.5;5343.0;5342.0
214;53.0;39.8;5396.0;5395.0
215;60.0;40.3;5456.0;5455.0
216;83.0;40.9;5539.0;5538.0
217;105.0;41.8;5644.0;5643.0
218;22.0;41.9;5666.0;5665.0
219;74.0;42.5;5740.0;5739.0
220;78.0;42.8;5818.0;5817.0
221;62.0;43.3;5880.0;5879.0
222;102.0;44.2;5982.0;5981.0
223;54.0;44.4;6036.0;6035.0
224;103.0;45.2;6139.0;6138.0
225;98.0;46.0;6237.0;6236.0
226;79.0;46.6;6316.0;6315.0
227;127.0;47.8;6443.0;6442.0
228;73.0;48.4;6516.0;6515.0
229;75.0;48.6;6591.0;6590.0
230;85.0;49.1;6676.0;6675.0
231;76.0;49.7;6752.0;6751.0
232;115.0;50.7;6867.0;6866.0
233;73.0;51.3;6940.0;6939.0
234;70.0;51.8;7010.0;7009.0
235;95.0;52.6;7105.0;7104.0
236;200.0;54.6;7305.0;7304.0
237;126.0;55.6;7431.0;7430.0
238;160.0;57.0;7591.0;7590.0
239;175.0;58.5;7766.0;7765.0
240;172.0;60.0;7938.0;7937.0
241;200.0;61.8;8138.0;8137.0
242;200.0;63.1;8338.0;8337.0
243;140.0;64.2;8478.0;8477.0
244;130.0;65.3;8608.0;8607.0
245;200.0;67.0;8808.0;8807.0
246;146.0;68.0;8954.0;8953.0
247;122.0;69.0;9076.0;9075.0
248;167.0;70.5;9243.0;9242.0
249;159.0;71.9;9402.0;9401.0
250;149.0;72.8;9551.0;9550.0
251;193.0;74.4;9744.0;9743.0
252;200.0;76.2;9944.0;9943.0
253;160.0;77.3;10104.0;10103.0
254;124.0;78.3;10228.0;10227.0
255;126.0;79.2;10354.0;10353.0
256;118.0;80.1;10472.0;10471.0
257;160.0;81.2;10632.0;10631.0
258;140.0;82.5;10772.0;10771.0
259;127.0;83.2;10899.0;10898.0
260;121.0;84.3;11020.0;11019.0
261;140.0;85.4;11160.0;11159.0
262;140.0;86.6;11300.0;11299.0
263;158.0;88.0;11458.0;11457.0
264;153.0;89.1;11611.0;11610.0
265;123.0;89.5;11734.0;11733.0
266;124.0;90.6;11858.0;11857.0
267;134.0;91.6;11992.0;11991.0
268;138.0;92.8;12130.0;12129.0
269;128.0;93.9;12258.0;12257.0
270;143.0;95.1;12401.0;12400.0
271;153.0;96.4;12554.0;12553.0
272;140.0;97.6;12694.0;12693.0
273;138.0;98.6;12832.0;12831.0
274;142.0;99.7;12974.0;12973.0
275;134.0;100.6;13108.0;13107.0
276;164.0;101.5;13272.0;13271.0
277;163.0;102.8;13435.0;13434.0
278;160.0;104.0;13595.0;13594.0
279;183.0;105.4;13778.0;13777.0
280;166.0;106.7;13944.0;13943.0
281;156.0;108.0;14100.0;14099.0
282;170.0;109.0;14270.0;14269.0
283;148.0;110.2;14418.0;14417.0
284;137.0;110.6;14555.0;14554.0
285;165.0;111.7;14720.0;14719.0
286;152.0;112.7;14872.0;14871.0
287;140.0;113.7;15012.0;15011.0
288;171.0;114.8;15183.0;15182.0
289;189.0;116.0;15372.0;15371.0
290;151.0;116.6;15523.0;15522.0
291;194.0;118.1;15717.0;15716.0
292;159.0;119.3;15876.0;15875.0
293;187.0;119.9;16063.0;16062.0
294;158.0;121.0;16221.0;16220.0
295;133.0;122.1;16354.0;16353.0
296;143.0;122.8;16497.0;16496.0
297;157.0;124.1;16654.0;16653.0
298;152.0;125.0;16806.0;16805.0
299;154.0;126.4;16960.0;16959.0
300;153.0;127.5;17113.0;17112.0
301;194.0;128.9;17307.0;17306.0
302;200.0;130.1;17507.0;17506.0
303;162.0;131.0;17669.0;17668.0
304;139.0;132.1;17808.0;17807.0
305;158.0;132.9;17966.0;17965.0
306;167.0;133.4;18133.0;18132.0
307;186.0;134.6;18319.0;18318.0
308;166.0;135.7;18485.0;18484.0
309;134.0;136.4;18619.0;18618.0
310;142.0;137.2;18761.0;18760.0
311;158.0;137.9;18919.0;18918.0
312;167.0;139.0;19086.0;19085.0
313;163.0;139.1;19249.0;19248.0
314;171.0;140.2;19420.0;19419.0
315;155.0;141.2;19575.0;19574.0
316;159.0;142.0;19734.0;19733.0
317;176.0;142.7;19910.0;19909.0
318;168.0;144.1;20078.0;20077.0
319;197.0;145.4;20275.0;20274.0
320;139.0;146.0;20414.0;20413.0
