comm_rounds;t5;staleness5;epoch5
1;1001;7.0;1.0
2;1002;7.0;1.0
3;1003;2.0;1.0
4;1004;4.0;1.0
5;1005;2.0;1.0
6;1006;1.0;1.0
7;1007;4.0;1.0
8;1008;2.0;1.0
9;1009;4.0;1.0
10;1010;3.0;1.0
11;1011;2.0;1.0
12;1012;6.0;1.0
13;1013;7.0;1.0
14;1014;10.0;1.0
15;1015;10.0;1.0
16;1016;10.0;1.0
17;1017;9.0;1.0
18;1018;1.0;1.0
19;1019;5.0;1.0
20;1020;5.0;1.0
21;1021;1.0;1.0
22;1022;8.0;1.0
23;1023;8.0;1.0
24;1024;7.0;1.0
25;1025;1.0;1.0
26;1026;7.0;1.0
27;1027;2.0;1.0
28;1028;1.0;1.0
29;1029;3.0;1.0
30;1030;1.0;1.0
31;1031;1.0;1.0
32;1032;7.0;1.0
33;1033;8.0;1.0
34;1034;5.0;1.0
35;1035;9.0;1.0
36;1036;7.0;1.0
37;1037;1.0;1.0
38;1038;4.0;1.0
39;1039;5.0;1.0
40;1040;8.0;1.0
41;1041;1.0;1.0
42;1042;3.0;1.0
43;1043;2.0;1.0
44;1044;6.0;1.0
45;1045;1.0;1.0
46;1046;7.0;1.0
47;1047;3.0;1.0
48;1048;5.0;1.0
49;1049;1.0;1.0
50;1050;9.0;1.0
51;1051;8.0;1.0
52;1052;2.0;1.0
53;1053;6.0;1.0
54;1054;9.0;1.0
55;1055;7.0;1.0
56;1056;6.0;1.0
57;1057;10.0;1.0
58;1058;6.0;1.0
59;1059;9.0;1.0
60;1060;7.0;1.0
61;1061;7.0;1.0
62;1062;8.0;1.0
63;1063;10.0;1.0
64;1064;5.0;1.0
65;1065;7.0;1.0
66;1066;1.0;1.0
67;1067;4.0;1.0
68;1068;3.0;1.0
69;1069;6.0;1.0
70;1070;4.0;1.0
71;1071;8.0;1.0
72;1072;2.0;1.0
73;1073;5.0;1.0
74;1074;9.0;1.0
75;1075;8.0;1.0
76;1076;1.0;1.0
77;1077;1.0;1.0
78;1078;2.0;1.0
79;1079;6.0;1.0
80;1080;1.0;1.0
81;1081;2.0;1.0
82;1082;9.0;1.0
83;1083;1.0;1.0
84;1084;4.0;1.0
85;1085;5.0;1.0
86;1086;1.0;1.0
87;1087;5.0;1.0
88;1088;3.0;1.0
89;1089;7.0;1.0
90;1090;8.0;1.0
91;1091;2.0;1.0
92;1092;2.0;1.0
93;1093;10.0;1.0
94;1094;1.0;1.0
95;1095;4.0;1.0
96;1096;7.0;1.0
97;1097;9.0;1.0
98;1098;2.0;1.0
99;1099;5.0;1.0
100;1100;1.0;1.0
101;1101;8.0;1.0
102;1102;9.0;1.0
103;1103;7.0;1.0
104;1104;8.0;1.0
105;1105;10.0;1.0
106;1106;5.0;1.0
107;1107;2.0;1.0
108;1108;3.0;1.0
109;1109;6.0;1.0
110;1110;1.0;1.0
111;1111;10.0;1.0
112;1112;7.0;1.0
113;1113;7.0;1.0
114;1114;9.0;1.0
115;1115;3.0;1.0
116;1116;6.0;1.0
117;1117;4.0;1.0
118;1118;3.0;1.0
119;1119;1.0;1.0
120;1120;2.0;1.0
121;1121;8.0;1.0
122;1122;4.0;1.0
123;1123;1.0;1.0
124;1124;4.0;1.0
125;1125;6.0;1.0
126;1126;1.0;1.0
127;1127;8.0;1.0
128;1128;6.0;1.0
129;1129;3.0;1.0
130;1130;2.0;1.0
131;1131;4.0;1.0
132;1132;10.0;1.0
133;1133;5.0;1.0
134;1134;4.0;1.0
135;1135;2.0;1.0
136;1136;5.0;1.0
137;1137;3.0;1.0
138;1138;6.0;1.0
139;1139;5.0;1.0
140;1140;2.0;1.0
141;1141;6.0;1.0
142;1142;8.0;1.0
143;1143;5.0;1.0
144;1144;6.0;1.0
145;1145;10.0;1.0
146;1146;2.0;1.0
147;1147;2.0;1.0
148;1148;8.0;1.0
149;1149;8.0;1.0
150;1150;8.0;1.0
151;1151;3.0;1.0
152;1152;2.0;1.0
153;1153;10.0;1.0
154;1154;1.0;1.0
155;1155;4.0;1.0
156;1156;6.0;1.0
157;1157;1.0;1.0
158;1158;2.0;1.0
159;1159;10.0;1.0
160;1160;8.0;1.0
161;1161;4.0;1.0
162;1162;5.0;1.0
163;1163;3.0;1.0
164;1164;7.0;1.0
165;1165;2.0;1.0
166;1166;9.0;1.0
167;1167;6.0;1.0
168;1168;5.0;1.0
169;1169;1.0;1.0
170;1170;8.0;1.0
171;1171;10.0;1.0
172;1172;6.0;1.0
173;1173;8.0;1.0
174;1174;1.0;1.0
175;1175;10.0;1.0
176;1176;9.0;1.0
177;1177;7.0;1.0
178;1178;5.0;1.0
179;1179;2.0;1.0
180;1180;3.0;1.0
181;1181;6.0;1.0
182;1182;1.0;1.0
183;1183;4.0;1.0
184;1184;3.0;1.0
185;1185;5.0;1.0
186;1186;1.0;1.0
187;1187;4.0;1.0
188;1188;4.0;1.0
189;1189;6.0;1.0
190;1190;5.0;1.0
191;1191;5.0;1.0
192;1192;2.0;1.0
193;1193;7.0;1.0
194;1194;2.0;1.0
195;1195;7.0;1.0
196;1196;6.0;1.0
197;1197;5.0;1.0
