episode;reward0;avg_reward0;t_global;cr
176;23.0;21.7;21488.0;26.0
177;12.0;21.5;21488.0;26.0
178;29.0;21.6;21488.0;26.0
179;29.0;21.8;22280.0;27.0
180;49.0;22.2;22280.0;27.0
181;38.0;22.4;22280.0;27.0
182;29.0;22.6;23072.0;28.0
183;28.0;22.7;23072.0;28.0
184;37.0;23.0;23072.0;28.0
185;42.0;23.2;23864.0;29.0
186;40.0;23.5;23864.0;29.0
187;32.0;23.7;24656.0;30.0
188;17.0;23.3;24656.0;30.0
189;22.0;23.4;24656.0;30.0
190;37.0;23.6;24656.0;30.0
191;24.0;23.5;25448.0;31.0
192;49.0;23.8;25448.0;31.0
193;28.0;23.9;25448.0;31.0
194;33.0;24.1;26240.0;32.0
195;59.0;24.5;26240.0;32.0
196;41.0;24.8;27032.0;33.0
197;74.0;25.3;27032.0;33.0
198;51.0;25.7;27824.0;34.0
199;67.0;26.3;28616.0;35.0
200;39.0;26.5;28616.0;35.0
201;23.0;26.5;28616.0;35.0
202;81.0;27.0;29408.0;36.0
203;37.0;27.3;29408.0;36.0
204;46.0;27.6;30200.0;37.0
205;41.0;27.8;30200.0;37.0
206;47.0;28.1;30984.0;38.0
207;50.0;28.5;30984.0;38.0
208;50.0;28.8;31768.0;39.0
209;22.0;28.8;31768.0;39.0
210;23.0;28.9;31768.0;39.0
211;47.0;29.1;32552.0;40.0
212;36.0;29.3;32552.0;40.0
213;69.0;29.8;33336.0;41.0
214;29.0;29.9;33336.0;41.0
215;42.0;30.2;34120.0;42.0
216;108.0;31.0;34904.0;43.0
217;47.0;31.4;34904.0;43.0
218;27.0;31.6;34904.0;43.0
219;28.0;31.7;35688.0;44.0
220;84.0;32.4;36472.0;45.0
221;34.0;32.6;36472.0;45.0
222;58.0;33.0;37256.0;46.0
223;73.0;33.6;37256.0;46.0
224;38.0;33.6;38040.0;47.0
225;66.0;34.1;38040.0;47.0
226;64.0;34.6;38824.0;48.0
227;107.0;35.5;39608.0;49.0
228;37.0;35.8;39608.0;49.0
229;106.0;36.6;41176.0;51.0
230;54.0;37.1;41176.0;51.0
231;45.0;37.3;41960.0;52.0
232;57.0;37.3;41960.0;52.0
233;53.0;37.6;42744.0;53.0
234;59.0;38.1;42744.0;53.0
235;61.0;38.5;43528.0;54.0
236;101.0;39.4;44312.0;55.0
237;69.0;39.9;45096.0;56.0
238;17.0;40.0;45096.0;56.0
239;86.0;40.7;45880.0;57.0
240;96.0;41.4;46664.0;58.0
241;98.0;42.1;47448.0;59.0
242;46.0;42.4;47448.0;59.0
243;111.0;43.3;48232.0;60.0
244;63.0;43.8;49016.0;61.0
245;90.0;44.6;49800.0;62.0
246;63.0;45.1;49800.0;62.0
247;56.0;45.4;50576.0;63.0
248;51.0;45.9;51352.0;64.0
249;63.0;46.2;51352.0;64.0
250;64.0;46.8;52128.0;65.0
251;59.0;47.1;52904.0;66.0
252;87.0;47.9;52904.0;66.0
253;87.0;48.3;53680.0;67.0
254;69.0;48.6;54456.0;68.0
255;51.0;49.0;55232.0;69.0
256;56.0;49.4;55232.0;69.0
257;121.0;50.2;56008.0;70.0
258;75.0;50.7;56784.0;71.0
259;69.0;51.1;57560.0;72.0
260;60.0;51.3;57560.0;72.0
261;72.0;51.8;58336.0;73.0
262;72.0;52.4;59112.0;74.0
263;112.0;53.3;59888.0;75.0
264;81.0;53.0;60664.0;76.0
265;74.0;52.9;61440.0;77.0
266;65.0;53.3;61440.0;77.0
267;85.0;53.9;62216.0;78.0
268;91.0;54.2;62992.0;79.0
269;75.0;54.7;63768.0;80.0
270;94.0;55.2;64544.0;81.0
271;174.0;56.8;66096.0;83.0
272;71.0;57.3;66096.0;83.0
273;61.0;57.7;66872.0;84.0
274;87.0;58.3;67648.0;85.0
275;98.0;59.0;68424.0;86.0
276;169.0;60.4;69968.0;88.0
277;140.0;61.7;70736.0;89.0
278;137.0;62.8;72272.0;91.0
279;159.0;64.1;73040.0;92.0
280;107.0;64.7;73808.0;93.0
281;115.0;65.4;75344.0;95.0
282;133.0;66.5;76112.0;96.0
283;127.0;67.5;76880.0;97.0
284;115.0;68.3;78416.0;99.0
285;112.0;69.0;79184.0;100.0
286;121.0;69.8;79952.0;101.0
287;105.0;70.5;80720.0;102.0
288;141.0;71.7;81488.0;103.0
289;141.0;72.9;83024.0;105.0
290;101.0;73.6;83792.0;106.0
291;115.0;74.5;84560.0;107.0
292;119.0;75.2;85328.0;108.0
293;139.0;76.3;86864.0;110.0
294;134.0;77.3;87632.0;111.0
295;126.0;78.0;89160.0;113.0
296;128.0;78.8;89920.0;114.0
297;144.0;79.5;90680.0;115.0
298;137.0;80.4;92200.0;117.0
299;147.0;81.2;92960.0;118.0
300;138.0;82.2;94480.0;120.0
301;147.0;83.4;95240.0;121.0
302;163.0;84.2;96760.0;123.0
303;170.0;85.6;98280.0;125.0
304;131.0;86.4;99040.0;126.0
305;143.0;87.4;100560.0;128.0
306;145.0;88.4;101320.0;129.0
307;151.0;89.4;102840.0;131.0
308;154.0;90.5;104360.0;133.0
309;134.0;91.6;105120.0;134.0
310;137.0;92.7;105880.0;135.0
311;157.0;93.8;107400.0;137.0
312;164.0;95.1;108904.0;139.0
313;138.0;95.8;109656.0;140.0
314;144.0;97.0;111160.0;142.0
315;141.0;98.0;111912.0;143.0
316;146.0;98.3;113416.0;145.0
317;156.0;99.4;114920.0;147.0
318;151.0;100.7;115672.0;148.0
319;189.0;102.3;117176.0;150.0
320;148.0;102.9;118680.0;152.0
321;160.0;104.2;119432.0;153.0
322;156.0;105.2;120936.0;155.0
323;171.0;106.1;122440.0;157.0
324;154.0;107.3;123944.0;159.0
325;141.0;108.0;124696.0;160.0
326;200.0;109.4;126200.0;162.0
327;162.0;110.0;127688.0;164.0
328;187.0;111.4;129176.0;166.0
329;181.0;112.2;130664.0;168.0
330;166.0;113.3;132152.0;170.0
331;168.0;114.6;133640.0;172.0
332;168.0;115.7;134384.0;173.0
333;180.0;116.9;135872.0;175.0
334;155.0;117.9;137360.0;177.0
335;200.0;119.3;138848.0;179.0
336;159.0;119.9;140336.0;181.0
337;167.0;120.8;141824.0;183.0
338;157.0;122.2;142568.0;184.0
339;153.0;122.9;144056.0;186.0
340;169.0;123.6;145536.0;188.0
341;168.0;124.3;147008.0;190.0
342;190.0;125.8;148388.0;192.0
343;200.0;126.7;149860.0;194.0
344;200.0;128.0;151332.0;196.0
345;172.0;128.9;152804.0;198.0
346;172.0;130.0;154276.0;200.0
347;184.0;131.2;155748.0;202.0
