episode;reward1;avg_reward1;t_global;cr
1;27.0;27.0;0.0;0
2;22.0;24.5;0.0;0
3;14.0;21.0;0.0;0
4;29.0;23.0;0.0;0
5;12.0;20.8;0.0;0
6;23.0;21.2;0.0;0
7;22.0;21.3;0.0;0
8;21.0;21.2;0.0;0
9;20.0;21.1;0.0;0
10;42.0;23.2;0.0;0
11;11.0;22.1;0.0;0
12;10.0;21.1;0.0;0
13;30.0;21.8;0.0;0
14;26.0;22.1;0.0;0
15;21.0;22.0;0.0;0
16;49.0;23.7;0.0;0
17;16.0;23.2;0.0;0
18;13.0;22.7;0.0;0
19;28.0;22.9;0.0;0
20;14.0;22.5;0.0;0
21;14.0;22.1;0.0;0
22;15.0;21.8;0.0;0
23;32.0;22.2;0.0;0
24;16.0;22.0;0.0;0
25;40.0;22.7;0.0;0
26;24.0;22.7;0.0;0
27;13.0;22.4;0.0;0
28;17.0;22.2;0.0;0
29;11.0;21.8;0.0;0
30;19.0;21.7;0.0;0
31;16.0;21.5;0.0;0
32;35.0;21.9;0.0;0
33;25.0;22.0;0.0;0
34;19.0;21.9;0.0;0
35;28.0;22.1;0.0;0
36;34.0;22.4;0.0;0
37;59.0;23.4;0.0;0
38;10.0;23.1;0.0;0
39;29.0;23.2;0.0;0
40;35.0;23.5;0.0;0
41;63.0;24.5;0.0;0
42;14.0;24.2;0.0;0
43;37.0;24.5;0.0;0
44;18.0;24.4;0.0;0
45;26.0;24.4;0.0;0
46;55.0;25.1;800.0;0.0
47;11.0;24.8;800.0;0.0
48;20.0;24.7;800.0;0.0
49;32.0;24.8;1600.0;1.0
50;57.0;25.5;1600.0;1.0
51;13.0;25.2;1600.0;1.0
52;21.0;25.2;2400.0;2.0
53;15.0;25.0;2400.0;2.0
54;9.0;24.7;2400.0;2.0
55;18.0;24.5;2400.0;2.0
56;17.0;24.4;2400.0;2.0
57;9.0;24.1;2400.0;2.0
58;53.0;24.6;3200.0;3.0
59;13.0;24.4;3200.0;3.0
60;25.0;24.4;3200.0;3.0
61;26.0;24.5;3200.0;3.0
62;23.0;24.5;4000.0;4.0
63;15.0;24.3;4000.0;4.0
64;17.0;24.2;4000.0;4.0
65;15.0;24.0;4000.0;4.0
66;10.0;23.8;4000.0;4.0
67;20.0;23.8;4000.0;4.0
68;9.0;23.6;4800.0;5.0
69;23.0;23.6;4800.0;5.0
70;11.0;23.4;4800.0;5.0
71;18.0;23.3;4800.0;5.0
72;16.0;23.2;4800.0;5.0
73;14.0;23.1;4800.0;5.0
74;22.0;23.1;5600.0;6.0
75;36.0;23.2;5600.0;6.0
76;12.0;23.1;5600.0;6.0
77;17.0;23.0;5600.0;6.0
78;14.0;22.9;5600.0;6.0
79;31.0;23.0;6400.0;7.0
80;17.0;22.9;6400.0;7.0
81;13.0;22.8;6400.0;7.0
82;10.0;22.6;6400.0;7.0
83;11.0;22.5;6400.0;7.0
84;11.0;22.4;6400.0;7.0
85;17.0;22.3;6400.0;7.0
86;14.0;22.2;7200.0;8.0
87;40.0;22.4;7200.0;8.0
88;49.0;22.7;7200.0;8.0
89;19.0;22.7;8000.0;9.0
90;36.0;22.8;8000.0;9.0
91;16.0;22.7;8000.0;9.0
92;10.0;22.6;8000.0;9.0
93;24.0;22.6;8800.0;10.0
94;20.0;22.6;8800.0;10.0
95;13.0;22.5;8800.0;10.0
96;12.0;22.4;8800.0;10.0
97;26.0;22.4;8800.0;10.0
98;23.0;22.4;8800.0;10.0
99;14.0;22.3;9600.0;11.0
100;13.0;22.2;9600.0;11.0
101;23.0;22.2;9600.0;11.0
102;12.0;22.1;9600.0;11.0
103;12.0;22.1;9600.0;11.0
