episode;reward0;avg_reward0;t_global;cr;;episode;reward1;avg_reward1;t_global;cr;;avg_reward;avg_avg_reward
322;200.0;160.6;45908.0;22957.0;;322;200.0;168.4;48776.0;24391.0;;200.0;164.5
323;200.0;161.9;46308.0;23157.0;;323;192.0;169.3;49160.0;24583.0;;196.0;165.60000000000002
324;200.0;162.5;46708.0;23357.0;;324;175.0;169.7;49509.0;24758.0;;187.5;166.1
325;188.0;163.2;47084.0;23545.0;;325;194.0;171.0;49897.0;24952.0;;191.0;167.1
326;200.0;164.4;47484.0;23745.0;;326;196.0;172.0;50289.0;25148.0;;198.0;168.2
327;200.0;165.3;47884.0;23945.0;;327;200.0;173.0;50689.0;25348.0;;200.0;169.15
328;200.0;166.5;48284.0;24145.0;;328;200.0;173.9;51089.0;25548.0;;200.0;170.2
329;200.0;167.6;48684.0;24345.0;;329;160.0;173.7;51409.0;25708.0;;180.0;170.64999999999998
330;185.0;168.6;49054.0;24530.0;;330;200.0;174.9;51809.0;25908.0;;192.5;171.75
331;195.0;169.7;49443.0;24725.0;;331;176.0;175.6;52161.0;26084.0;;185.5;172.64999999999998
332;200.0;170.9;49843.0;24925.0;;332;174.0;176.2;52509.0;26258.0;;187.0;173.55
333;200.0;171.8;50243.0;25125.0;;333;193.0;177.2;52895.0;26451.0;;196.5;174.5
334;173.0;172.6;50589.0;25298.0;;334;200.0;178.1;53295.0;26651.0;;186.5;175.35
335;200.0;173.6;50989.0;25498.0;;335;179.0;179.0;53653.0;26830.0;;189.5;176.3
336;160.0;173.4;51309.0;25658.0;;336;200.0;179.8;54053.0;27030.0;;180.0;176.60000000000002
337;168.0;174.1;51645.0;25826.0;;337;174.0;180.0;54400.0;27204.0;;171.0;177.05
338;180.0;175.1;52005.0;26006.0;;338;197.0;180.8;54794.0;27401.0;;188.5;177.95
339;167.0;174.9;52339.0;26173.0;;339;200.0;181.2;55194.0;27601.0;;183.5;178.05
340;200.0;175.8;52739.0;26373.0;;340;200.0;181.9;55594.0;27801.0;;200.0;178.85000000000002
341;200.0;176.7;53139.0;26573.0;;341;136.0;181.9;55866.0;27937.0;;168.0;179.3
342;200.0;177.5;53539.0;26773.0;;342;200.0;181.9;56266.0;28137.0;;200.0;179.7
343;200.0;178.3;53939.0;26973.0;;343;200.0;182.6;56666.0;28337.0;;200.0;180.45
344;200.0;179.2;54338.0;27173.0;;344;200.0;183.3;57065.0;28537.0;;200.0;181.25
