comm_rounds;t7;staleness7;epoch7
472;43754;243.0;81.12
473;43835;162.0;81.08
474;43916;486.0;81.03999999999999
475;43997;324.0;81.0
476;44078;486.0;80.96000000000001
477;44159;486.0;80.92
478;44240;324.0;80.88
479;44321;162.0;80.84
480;44402;324.0;80.8
481;44483;405.0;80.76
482;44564;81.0;80.72
483;44645;324.0;80.68
484;44726;324.0;80.64
485;44807;486.0;80.6
486;44888;162.0;80.56
487;44969;405.0;80.52
488;45050;162.0;80.48
489;45130;480.0;80.44
490;45210;400.0;80.4
491;45290;400.0;80.36
492;45370;240.0;80.32
493;45450;80.0;80.28
494;45530;240.0;80.24000000000001
495;45610;560.0;80.2
496;45690;80.0;80.16
497;45770;560.0;80.12
498;45850;400.0;80.08
499;45930;480.0;80.03999999999999
500;46010;160.0;80.0
501;46090;160.0;80.0
502;46170;320.0;80.0
503;46250;80.0;80.0
504;46330;400.0;80.0
505;46410;240.0;80.0
506;46490;240.0;80.0
507;46570;400.0;80.0
508;46650;80.0;80.0
509;46730;240.0;80.0
510;46810;240.0;80.0
511;46890;160.0;80.0
512;46970;400.0;80.0
513;47050;400.0;80.0
514;47130;320.0;80.0
515;47210;80.0;80.0
516;47290;80.0;80.0
517;47370;80.0;80.0
518;47450;160.0;80.0
519;47530;400.0;80.0
520;47610;320.0;80.0
521;47690;480.0;80.0
522;47770;320.0;80.0
523;47850;240.0;80.0
524;47930;160.0;80.0
525;48010;480.0;80.0
526;48090;400.0;80.0
527;48170;400.0;80.0
528;48250;320.0;80.0
529;48330;640.0;80.0
530;48410;320.0;80.0
531;48490;640.0;80.0
532;48570;80.0;80.0
533;48650;80.0;80.0
534;48730;320.0;80.0
535;48810;560.0;80.0
536;48890;560.0;80.0
537;48970;240.0;80.0
538;49050;80.0;80.0
539;49130;480.0;80.0
540;49210;160.0;80.0
541;49290;160.0;80.0
542;49370;640.0;80.0
543;49450;80.0;80.0
544;49530;80.0;80.0
545;49610;240.0;80.0
546;49690;240.0;80.0
547;49770;480.0;80.0
548;49850;320.0;80.0
549;49930;400.0;80.0
550;50010;480.0;80.0
551;50090;400.0;80.0
552;50170;400.0;80.0
553;50250;80.0;80.0
554;50330;560.0;80.0
555;50410;400.0;80.0
556;50490;480.0;80.0
557;50570;320.0;80.0
558;50650;400.0;80.0
559;50730;80.0;80.0
560;50810;320.0;80.0
561;50890;320.0;80.0
562;50970;400.0;80.0
563;51050;320.0;80.0
564;51130;80.0;80.0
565;51210;80.0;80.0
566;51290;320.0;80.0
567;51370;400.0;80.0
568;51450;400.0;80.0
569;51530;480.0;80.0
570;51610;160.0;80.0
571;51690;480.0;80.0
572;51770;240.0;80.0
573;51850;80.0;80.0
574;51930;160.0;80.0
575;52010;480.0;80.0
576;52090;400.0;80.0
577;52170;320.0;80.0
578;52250;480.0;80.0
579;52330;320.0;80.0
580;52410;160.0;80.0
581;52490;320.0;80.0
582;52570;400.0;80.0
583;52650;400.0;80.0
584;52730;400.0;80.0
585;52810;160.0;80.0
586;52890;160.0;80.0
587;52970;160.0;80.0
588;53050;160.0;80.0
589;53130;320.0;80.0
590;53210;80.0;80.0
591;53290;240.0;80.0
592;53370;320.0;80.0
593;53450;80.0;80.0
594;53530;400.0;80.0
595;53610;160.0;80.0
596;53690;240.0;80.0
597;53770;80.0;80.0
598;53850;400.0;80.0
599;53930;480.0;80.0
600;54010;640.0;80.0
601;54090;320.0;80.0
602;54170;240.0;80.0
603;54250;160.0;80.0
604;54330;80.0;80.0
605;54410;240.0;80.0
606;54490;160.0;80.0
607;54570;320.0;80.0
608;54650;80.0;80.0
609;54730;400.0;80.0
610;54810;480.0;80.0
611;54890;320.0;80.0
612;54970;240.0;80.0
613;55050;160.0;80.0
614;55130;160.0;80.0
615;55210;80.0;80.0
616;55290;240.0;80.0
617;55370;160.0;80.0
618;55450;400.0;80.0
619;55530;240.0;80.0
620;55610;320.0;80.0
621;55690;320.0;80.0
622;55770;160.0;80.0
623;55850;400.0;80.0
624;55930;320.0;80.0
625;56010;320.0;80.0
626;56090;160.0;80.0
627;56170;240.0;80.0
628;56250;240.0;80.0
629;56330;240.0;80.0
630;56410;320.0;80.0
631;56490;160.0;80.0
632;56570;160.0;80.0
633;56650;400.0;80.0
634;56730;320.0;80.0
635;56810;480.0;80.0
636;56890;640.0;80.0
637;56970;160.0;80.0
638;57050;240.0;80.0
639;57130;320.0;80.0
640;57210;320.0;80.0
641;57290;160.0;80.0
642;57370;320.0;80.0
643;57450;160.0;80.0
644;57530;400.0;80.0
645;57610;240.0;80.0
646;57690;400.0;80.0
647;57770;240.0;80.0
648;57850;320.0;80.0
649;57930;400.0;80.0
650;58010;320.0;80.0
651;58090;320.0;80.0
652;58170;160.0;80.0
653;58250;160.0;80.0
654;58330;400.0;80.0
655;58410;80.0;80.0
656;58490;80.0;80.0
657;58570;160.0;80.0
658;58650;400.0;80.0
659;58730;560.0;80.0
660;58810;160.0;80.0
661;58890;80.0;80.0
662;58970;160.0;80.0
663;59050;320.0;80.0
664;59130;320.0;80.0
665;59210;160.0;80.0
666;59290;160.0;80.0
667;59370;400.0;80.0
668;59450;400.0;80.0
669;59530;80.0;80.0
670;59610;320.0;80.0
671;59690;240.0;80.0
672;59770;80.0;80.0
673;59850;640.0;80.0
674;59930;240.0;80.0
675;60010;320.0;80.0
676;60090;400.0;80.0
677;60170;160.0;80.0
678;60250;160.0;80.0
679;60330;640.0;80.0
680;60410;480.0;80.0
681;60490;560.0;80.0
682;60570;80.0;80.0
683;60650;720.0;80.0
684;60730;480.0;80.0
685;60810;240.0;80.0
686;60890;240.0;80.0
687;60970;480.0;80.0
688;61050;400.0;80.0
689;61130;240.0;80.0
690;61210;320.0;80.0
691;61290;160.0;80.0
692;61370;400.0;80.0
693;61450;400.0;80.0
694;61530;560.0;80.0
695;61610;80.0;80.0
696;61690;400.0;80.0
697;61770;240.0;80.0
698;61850;400.0;80.0
699;61930;480.0;80.0
700;62010;400.0;80.0
