episode;reward3;avg_reward3;t_global;cr
1;16.0;16.0;1.0;0
2;24.0;20.0;1.0;0
3;20.0;20.0;1.0;0
4;25.0;21.2;1.0;0
5;13.0;19.6;1.0;0
6;10.0;18.0;1.0;0
7;33.0;20.1;1.0;0
8;21.0;20.2;1.0;0
9;37.0;22.1;1.0;0
10;23.0;22.2;1.0;0
11;22.0;22.2;1.0;0
12;18.0;21.8;1.0;0
13;12.0;21.1;1.0;0
14;23.0;21.2;1.0;0
15;21.0;21.2;1.0;0
16;17.0;20.9;1.0;0
17;31.0;21.5;1.0;0
18;11.0;20.9;1.0;0
19;13.0;20.5;1.0;0
20;13.0;20.2;1.0;0
21;32.0;20.7;2.0;0
22;23.0;20.8;2.0;0
23;10.0;20.3;2.0;0
24;11.0;20.0;2.0;0
25;11.0;19.6;2.0;0
26;15.0;19.4;2.0;0
27;28.0;19.7;2.0;0
28;18.0;19.7;2.0;0
29;14.0;19.5;2.0;0
30;13.0;19.3;2.0;0
31;18.0;19.2;2.0;0
32;14.0;19.1;2.0;0
33;12.0;18.8;2.0;0
34;22.0;18.9;2.0;0
35;28.0;19.2;2.0;0
36;12.0;19.0;2.0;0
37;50.0;19.8;2.0;0
38;18.0;19.8;2.0;0
39;22.0;19.8;2.0;0
40;31.0;20.1;2.0;0
41;12.0;19.9;2.0;0
42;17.0;19.9;2.0;0
43;27.0;20.0;2.0;0
44;11.0;19.8;2.0;0
45;29.0;20.0;2.0;0
46;15.0;19.9;2.0;0
47;20.0;19.9;2.0;0
48;15.0;19.8;2.0;0
49;17.0;19.8;2.0;0
50;25.0;19.9;2.0;0
51;9.0;19.6;2.0;0
