episode;reward0;avg_reward0;t_global;cr;;avg_reward;avg_avg_reward
121;13.0;22.2;1498.0;14.0;;13.0;22.2
122;27.0;22.2;1597.0;15.0;;27.0;22.2
123;26.0;22.2;1597.0;15.0;;26.0;22.2
124;29.0;22.3;1597.0;15.0;;29.0;22.3
125;14.0;22.3;1597.0;15.0;;14.0;22.3
126;17.0;22.3;1597.0;15.0;;17.0;22.3
127;12.0;22.2;1696.0;16.0;;12.0;22.2
128;13.0;22.3;1696.0;16.0;;13.0;22.3
129;22.0;22.2;1696.0;16.0;;22.0;22.2
130;24.0;22.3;1696.0;16.0;;24.0;22.3
131;18.0;22.3;1696.0;16.0;;18.0;22.3
132;18.0;22.3;1795.0;17.0;;18.0;22.3
133;9.0;22.3;1795.0;17.0;;9.0;22.3
134;20.0;21.8;1795.0;17.0;;20.0;21.8
135;14.0;21.8;1795.0;17.0;;14.0;21.8
136;19.0;21.8;1795.0;17.0;;19.0;21.8
137;11.0;21.6;1795.0;17.0;;11.0;21.6
138;14.0;21.6;1795.0;17.0;;14.0;21.6
139;15.0;21.5;1894.0;18.0;;15.0;21.5
140;20.0;21.4;1894.0;18.0;;20.0;21.4
141;14.0;21.3;1894.0;18.0;;14.0;21.3
142;15.0;21.3;1894.0;18.0;;15.0;21.3
143;19.0;21.3;1894.0;18.0;;19.0;21.3
144;20.0;21.2;1894.0;18.0;;20.0;21.2
145;12.0;21.2;1993.0;19.0;;12.0;21.2
146;14.0;21.1;1993.0;19.0;;14.0;21.1
147;41.0;21.2;1993.0;19.0;;41.0;21.2
148;17.0;21.2;1993.0;19.0;;17.0;21.2
149;20.0;21.3;2092.0;20.0;;20.0;21.3
150;17.0;21.2;2092.0;20.0;;17.0;21.2
151;10.0;20.7;2092.0;20.0;;10.0;20.7
152;26.0;20.8;2092.0;20.0;;26.0;20.8
153;27.0;20.8;2092.0;20.0;;27.0;20.8
154;21.0;20.9;2191.0;21.0;;21.0;20.9
155;24.0;20.4;2191.0;21.0;;24.0;20.4
156;28.0;20.5;2191.0;21.0;;28.0;20.5
157;22.0;20.5;2191.0;21.0;;22.0;20.5
158;16.0;20.2;2191.0;21.0;;16.0;20.2
159;58.0;20.1;2290.0;22.0;;58.0;20.1
160;35.0;20.1;2290.0;22.0;;35.0;20.1
161;76.0;20.6;2389.0;23.0;;76.0;20.6
162;33.0;20.8;2389.0;23.0;;33.0;20.8
163;26.0;20.8;2488.0;24.0;;26.0;20.8
164;32.0;20.9;2488.0;24.0;;32.0;20.9
165;50.0;21.3;2587.0;25.0;;50.0;21.3
166;26.0;21.4;2587.0;25.0;;26.0;21.4
167;13.0;21.4;2587.0;25.0;;13.0;21.4
168;16.0;21.4;2587.0;25.0;;16.0;21.4
169;34.0;21.6;2587.0;25.0;;34.0;21.6
170;22.0;21.3;2686.0;26.0;;22.0;21.3
171;28.0;21.5;2686.0;26.0;;28.0;21.5
172;24.0;21.6;2686.0;26.0;;24.0;21.6
173;16.0;21.7;2686.0;26.0;;16.0;21.7
174;17.0;21.7;2785.0;27.0;;17.0;21.7
175;22.0;21.7;2785.0;27.0;;22.0;21.7
176;29.0;21.9;2785.0;27.0;;29.0;21.9
177;61.0;22.4;2884.0;28.0;;61.0;22.4
178;78.0;23.0;2884.0;28.0;;78.0;23.0
179;41.0;23.2;2983.0;29.0;;41.0;23.2
180;24.0;23.2;2983.0;29.0;;24.0;23.2
181;92.0;23.6;3082.0;30.0;;92.0;23.6
182;27.0;23.6;3082.0;30.0;;27.0;23.6
183;27.0;23.6;3181.0;31.0;;27.0;23.6
184;58.0;24.0;3181.0;31.0;;58.0;24.0
185;57.0;24.5;3280.0;32.0;;57.0;24.5
186;69.0;25.0;3280.0;32.0;;69.0;25.0
187;15.0;25.0;3379.0;33.0;;15.0;25.0
188;18.0;25.0;3379.0;33.0;;18.0;25.0
189;39.0;25.2;3379.0;33.0;;39.0;25.2
190;26.0;25.3;3379.0;33.0;;26.0;25.3
191;34.0;25.6;3478.0;34.0;;34.0;25.6
192;27.0;25.7;3478.0;34.0;;27.0;25.7
193;25.0;25.8;3478.0;34.0;;25.0;25.8
194;35.0;26.0;3577.0;35.0;;35.0;26.0
195;79.0;26.1;3577.0;35.0;;79.0;26.1
196;19.0;26.2;3676.0;36.0;;19.0;26.2
197;46.0;26.2;3676.0;36.0;;46.0;26.2
198;28.0;26.2;3676.0;36.0;;28.0;26.2
199;90.0;27.0;3775.0;37.0;;90.0;27.0
200;33.0;27.0;3873.0;38.0;;33.0;27.0
201;37.0;27.3;3873.0;38.0;;37.0;27.3
202;15.0;27.2;3873.0;38.0;;15.0;27.2
203;46.0;27.6;3971.0;39.0;;46.0;27.6
204;59.0;27.8;3971.0;39.0;;59.0;27.8
205;54.0;28.2;4069.0;40.0;;54.0;28.2
206;42.0;28.5;4069.0;40.0;;42.0;28.5
207;41.0;28.8;4167.0;41.0;;41.0;28.8
208;26.0;28.8;4167.0;41.0;;26.0;28.8
209;29.0;29.0;4167.0;41.0;;29.0;29.0
210;112.0;29.9;4265.0;42.0;;112.0;29.9
211;29.0;30.1;4363.0;43.0;;29.0;30.1
212;35.0;30.2;4363.0;43.0;;35.0;30.2
213;72.0;30.7;4461.0;44.0;;72.0;30.7
214;62.0;31.2;4461.0;44.0;;62.0;31.2
215;46.0;31.4;4559.0;45.0;;46.0;31.4
216;73.0;32.0;4657.0;46.0;;73.0;32.0
217;50.0;32.2;4657.0;46.0;;50.0;32.2
218;34.0;32.3;4657.0;46.0;;34.0;32.3
219;19.0;32.2;4755.0;47.0;;19.0;32.2
220;31.0;32.4;4755.0;47.0;;31.0;32.4
221;48.0;32.7;4755.0;47.0;;48.0;32.7
222;52.0;33.0;4853.0;48.0;;52.0;33.0
223;164.0;34.3;5049.0;50.0;;164.0;34.3
224;52.0;34.6;5049.0;50.0;;52.0;34.6
225;59.0;35.0;5147.0;51.0;;59.0;35.0
226;104.0;35.9;5245.0;52.0;;104.0;35.9
227;77.0;36.5;5343.0;53.0;;77.0;36.5
228;24.0;36.6;5343.0;53.0;;24.0;36.6
229;50.0;36.9;5343.0;53.0;;50.0;36.9
230;49.0;37.2;5441.0;54.0;;49.0;37.2
231;55.0;37.5;5441.0;54.0;;55.0;37.5
232;93.0;38.3;5539.0;55.0;;93.0;38.3
