comm_rounds;t1;staleness1;epoch1
1;1100;100.0;99.96
2;1200;400.0;99.92
3;1300;300.0;99.88
4;1400;600.0;99.84
5;1500;500.0;99.8
6;1600;600.0;99.76
7;1700;600.0;99.72
8;1800;400.0;99.68
9;1900;600.0;99.64
10;2000;400.0;99.6
11;2100;200.0;99.56
12;2200;600.0;99.52
13;2300;800.0;99.48
14;2399;297.0;99.44
15;2498;495.0;99.4
16;2597;297.0;99.36
17;2696;495.0;99.32
18;2795;297.0;99.28
19;2894;594.0;99.24
20;2993;792.0;99.2
21;3092;792.0;99.16
22;3191;198.0;99.12
23;3290;594.0;99.08
24;3389;198.0;99.04
25;3488;594.0;99.0
26;3587;198.0;98.96
27;3686;396.0;98.92
28;3785;297.0;98.88
29;3884;594.0;98.84
30;3983;495.0;98.8
31;4082;792.0;98.76
32;4181;792.0;98.72
33;4280;297.0;98.68
34;4379;297.0;98.64
35;4478;495.0;98.6
36;4577;693.0;98.56
37;4676;297.0;98.52
38;4775;594.0;98.48
39;4873;98.0;98.44
40;4971;98.0;98.4
41;5069;196.0;98.36
42;5167;686.0;98.32
43;5265;392.0;98.28
44;5363;490.0;98.24
45;5461;98.0;98.2
46;5559;392.0;98.16
47;5657;490.0;98.12
48;5755;98.0;98.08
49;5853;98.0;98.04
50;5951;588.0;98.0
51;6049;588.0;97.96
52;6147;588.0;97.92
53;6245;588.0;97.88
54;6343;490.0;97.84
55;6441;686.0;97.8
56;6539;98.0;97.76
57;6637;98.0;97.72
58;6735;490.0;97.68
59;6833;686.0;97.64
60;6931;98.0;97.6
61;7029;392.0;97.56
62;7127;490.0;97.52
63;7225;196.0;97.48
64;7322;97.0;97.44
65;7419;485.0;97.4
66;7516;485.0;97.36
67;7613;388.0;97.32
68;7710;388.0;97.28
69;7807;679.0;97.24
70;7904;679.0;97.2
71;8001;776.0;97.16
72;8098;582.0;97.12
73;8195;679.0;97.08
74;8292;582.0;97.04
75;8389;485.0;97.0
76;8486;485.0;96.96
77;8583;97.0;96.92
78;8680;291.0;96.88
79;8777;485.0;96.84
80;8874;776.0;96.8
81;8971;582.0;96.76
82;9068;97.0;96.72
83;9165;679.0;96.68
84;9262;97.0;96.64
85;9359;679.0;96.6
86;9456;388.0;96.56
87;9553;582.0;96.52
88;9650;776.0;96.48
89;9746;384.0;96.44
90;9842;288.0;96.4
91;9938;576.0;96.36
92;10034;96.0;96.32
93;10130;576.0;96.28
94;10226;384.0;96.24
95;10322;576.0;96.2
96;10418;288.0;96.16
97;10514;480.0;96.12
98;10610;288.0;96.08
99;10706;672.0;96.04
100;10802;672.0;96.0
101;10898;384.0;95.96
102;10994;768.0;95.92
103;11090;192.0;95.88
104;11186;672.0;95.84
105;11282;768.0;95.8
106;11378;576.0;95.76
107;11474;768.0;95.72
108;11570;480.0;95.68
109;11666;480.0;95.64
110;11762;576.0;95.6
111;11858;192.0;95.56
112;11954;288.0;95.52
113;12050;480.0;95.48
114;12145;190.0;95.44
115;12240;665.0;95.4
116;12335;760.0;95.36
117;12430;380.0;95.32
118;12525;475.0;95.28
119;12620;190.0;95.24
120;12715;570.0;95.2
121;12810;665.0;95.16
122;12905;285.0;95.12
123;13000;760.0;95.08
124;13095;760.0;95.04
125;13190;475.0;95.0
126;13285;665.0;94.96
127;13380;570.0;94.92
128;13475;475.0;94.88
129;13570;475.0;94.84
130;13665;285.0;94.8
131;13760;285.0;94.76
132;13855;665.0;94.72
133;13950;475.0;94.68
134;14045;380.0;94.64
135;14140;190.0;94.6
136;14235;475.0;94.56
137;14330;665.0;94.52
138;14425;285.0;94.48
139;14519;376.0;94.44
140;14613;376.0;94.4
141;14707;658.0;94.36
142;14801;470.0;94.32
143;14895;188.0;94.28
144;14989;564.0;94.24
145;15083;752.0;94.2
146;15177;188.0;94.16
147;15271;564.0;94.12
148;15365;564.0;94.08
149;15459;658.0;94.04
150;15553;752.0;94.0
151;15647;470.0;93.96
152;15741;564.0;93.92
153;15835;564.0;93.88
154;15929;658.0;93.84
155;16023;376.0;93.8
156;16117;752.0;93.76
157;16211;188.0;93.72
158;16305;658.0;93.68
159;16399;376.0;93.64
160;16493;470.0;93.6
161;16587;752.0;93.56
162;16681;658.0;93.52
163;16775;376.0;93.48
164;16868;186.0;93.44
165;16961;465.0;93.4
166;17054;558.0;93.36
167;17147;465.0;93.32
168;17240;279.0;93.28
169;17333;279.0;93.24
170;17426;465.0;93.2
171;17519;279.0;93.16
172;17612;465.0;93.12
173;17705;558.0;93.08
174;17798;93.0;93.04
175;17891;372.0;93.0
176;17984;744.0;92.96000000000001
177;18077;744.0;92.92
178;18170;186.0;92.88
179;18263;558.0;92.84
180;18356;372.0;92.8
181;18449;465.0;92.76
182;18542;372.0;92.72
183;18635;186.0;92.68
184;18728;558.0;92.64
185;18821;93.0;92.6
186;18914;558.0;92.56
187;19007;372.0;92.52
188;19100;279.0;92.48
189;19192;644.0;92.44
190;19284;644.0;92.4
191;19376;644.0;92.36
192;19468;736.0;92.32
193;19560;184.0;92.28
194;19652;644.0;92.24
195;19744;276.0;92.2
196;19836;276.0;92.16
197;19928;552.0;92.12
198;20020;276.0;92.08
199;20112;552.0;92.03999999999999
200;20204;552.0;92.0
201;20296;92.0;91.96
202;20388;552.0;91.92
203;20480;644.0;91.88
204;20572;644.0;91.84
205;20664;460.0;91.8
206;20756;184.0;91.76
207;20848;460.0;91.72
208;20940;92.0;91.68
209;21032;184.0;91.64
210;21124;552.0;91.6
211;21216;644.0;91.56
212;21308;184.0;91.52
213;21400;92.0;91.48
214;21491;455.0;91.44
215;21582;455.0;91.4
216;21673;182.0;91.36
217;21764;364.0;91.32
218;21855;455.0;91.28
219;21946;546.0;91.24
220;22037;455.0;91.2
221;22128;728.0;91.16
222;22219;364.0;91.12
223;22310;364.0;91.08
224;22401;546.0;91.03999999999999
225;22492;455.0;91.0
226;22583;546.0;90.96
227;22674;364.0;90.92
228;22765;455.0;90.88
229;22856;273.0;90.84
230;22947;546.0;90.8
231;23038;364.0;90.76
232;23129;728.0;90.72
233;23220;546.0;90.68
234;23311;546.0;90.64
235;23402;728.0;90.6
236;23493;273.0;90.56
237;23584;546.0;90.52
238;23675;546.0;90.48
239;23765;630.0;90.44
240;23855;270.0;90.4
241;23945;630.0;90.36
242;24035;720.0;90.32
243;24125;270.0;90.28
244;24215;180.0;90.24
245;24305;360.0;90.2
246;24395;630.0;90.16
247;24485;540.0;90.12
248;24575;540.0;90.08
249;24665;90.0;90.03999999999999
250;24755;720.0;90.0
251;24845;540.0;89.96000000000001
252;24935;720.0;89.92
253;25025;450.0;89.88
254;25115;270.0;89.84
255;25205;630.0;89.8
256;25295;540.0;89.76
257;25385;540.0;89.72
258;25475;270.0;89.68
259;25565;450.0;89.64
260;25655;540.0;89.6
261;25745;270.0;89.56
262;25835;270.0;89.52
263;25925;450.0;89.48
264;26014;267.0;89.44
265;26103;445.0;89.4
266;26192;356.0;89.36
267;26281;267.0;89.32
268;26370;356.0;89.28
269;26459;712.0;89.24
270;26548;534.0;89.2
271;26637;356.0;89.16
272;26726;445.0;89.12
273;26815;356.0;89.08
274;26904;712.0;89.03999999999999
275;26993;623.0;89.0
276;27082;534.0;88.96
277;27171;445.0;88.92
278;27260;623.0;88.88
279;27349;445.0;88.84
280;27438;267.0;88.8
281;27527;534.0;88.75999999999999
282;27616;623.0;88.72
283;27705;356.0;88.68
284;27794;445.0;88.64
285;27883;178.0;88.6
286;27972;356.0;88.56
287;28061;623.0;88.52
288;28150;356.0;88.48
289;28238;352.0;88.44
290;28326;704.0;88.4
291;28414;528.0;88.36
292;28502;704.0;88.32
293;28590;616.0;88.28
294;28678;528.0;88.24
295;28766;704.0;88.2
296;28854;528.0;88.16
297;28942;704.0;88.12
298;29030;176.0;88.08
299;29118;528.0;88.04
300;29206;176.0;88.0
301;29294;704.0;87.96000000000001
302;29382;440.0;87.92
303;29470;352.0;87.88
304;29558;528.0;87.84
305;29646;616.0;87.8
306;29734;176.0;87.76
307;29822;440.0;87.72
308;29910;440.0;87.68
309;29998;528.0;87.64
310;30086;88.0;87.6
311;30174;440.0;87.56
312;30262;352.0;87.52
313;30350;88.0;87.48
314;30437;348.0;87.44
315;30524;522.0;87.4
316;30611;696.0;87.36
317;30698;435.0;87.32
318;30785;348.0;87.28
319;30872;696.0;87.24
320;30959;261.0;87.2
321;31046;348.0;87.16
322;31133;522.0;87.12
323;31220;261.0;87.08
324;31307;87.0;87.03999999999999
325;31394;348.0;87.0
326;31481;696.0;86.96
327;31568;522.0;86.92
328;31655;435.0;86.88
329;31742;522.0;86.84
330;31829;522.0;86.8
331;31916;348.0;86.76
332;32003;435.0;86.72
333;32090;522.0;86.68
334;32177;696.0;86.64
335;32264;522.0;86.6
336;32351;435.0;86.56
337;32438;696.0;86.52
338;32525;522.0;86.48
339;32611;258.0;86.44
340;32697;430.0;86.4
341;32783;430.0;86.36
342;32869;516.0;86.32
343;32955;688.0;86.28
344;33041;430.0;86.24000000000001
345;33127;688.0;86.2
346;33213;516.0;86.16
347;33299;602.0;86.12
348;33385;86.0;86.08
349;33471;258.0;86.04
350;33557;258.0;86.0
351;33643;516.0;85.96000000000001
352;33729;430.0;85.92
353;33815;688.0;85.88
354;33901;86.0;85.84
355;33987;516.0;85.8
356;34073;86.0;85.76
357;34159;172.0;85.72
358;34245;516.0;85.68
359;34331;430.0;85.64
360;34417;86.0;85.6
361;34503;516.0;85.56
362;34589;172.0;85.52
363;34675;516.0;85.48
364;34760;510.0;85.44
365;34845;425.0;85.4
366;34930;340.0;85.36
367;35015;425.0;85.32
368;35100;510.0;85.28
369;35185;425.0;85.24
370;35270;595.0;85.2
371;35355;510.0;85.16
372;35440;425.0;85.12
373;35525;680.0;85.08
374;35610;510.0;85.03999999999999
375;35695;170.0;85.0
376;35780;510.0;84.96000000000001
377;35865;85.0;84.92
378;35950;85.0;84.88
379;36035;510.0;84.84
380;36120;85.0;84.8
381;36205;255.0;84.76
382;36290;680.0;84.72
383;36375;85.0;84.68
384;36460;340.0;84.64
385;36545;340.0;84.6
386;36630;425.0;84.56
387;36715;510.0;84.52
388;36800;425.0;84.48
389;36884;588.0;84.44
390;36968;336.0;84.4
391;37052;336.0;84.36
392;37136;420.0;84.32
393;37220;336.0;84.28
394;37304;672.0;84.24
395;37388;252.0;84.2
396;37472;336.0;84.16
397;37556;252.0;84.12
398;37640;168.0;84.08
399;37724;504.0;84.03999999999999
400;37808;168.0;84.0
401;37892;336.0;83.96000000000001
402;37976;504.0;83.92
403;38060;504.0;83.88
404;38144;588.0;83.84
405;38228;672.0;83.8
406;38312;420.0;83.75999999999999
407;38396;84.0;83.72
408;38480;252.0;83.68
409;38564;252.0;83.64
410;38648;84.0;83.6
411;38732;420.0;83.56
412;38816;504.0;83.52
413;38900;504.0;83.48
414;38983;166.0;83.44
415;39066;664.0;83.4
416;39149;166.0;83.36
417;39232;166.0;83.32
418;39315;664.0;83.28
419;39398;415.0;83.24000000000001
420;39481;581.0;83.2
421;39564;498.0;83.16
422;39647;498.0;83.12
423;39730;249.0;83.08
424;39813;415.0;83.03999999999999
425;39896;415.0;83.0
426;39979;249.0;82.96000000000001
427;40062;249.0;82.92
428;40145;332.0;82.88
429;40228;332.0;82.84
430;40311;664.0;82.8
431;40394;166.0;82.76
432;40477;581.0;82.72
433;40560;83.0;82.68
434;40643;581.0;82.64
435;40726;664.0;82.6
436;40809;498.0;82.56
437;40892;581.0;82.52
438;40975;166.0;82.48
439;41057;574.0;82.44
440;41139;164.0;82.4
441;41221;492.0;82.36
442;41303;656.0;82.32
443;41385;164.0;82.28
444;41467;492.0;82.24
445;41549;328.0;82.2
446;41631;328.0;82.16
447;41713;164.0;82.12
448;41795;82.0;82.08
449;41877;574.0;82.03999999999999
450;41959;410.0;82.0
451;42041;410.0;81.96000000000001
452;42123;492.0;81.92
453;42205;410.0;81.88
454;42287;492.0;81.84
455;42369;492.0;81.8
456;42451;410.0;81.75999999999999
457;42533;328.0;81.72
458;42615;574.0;81.68
459;42697;246.0;81.64
460;42779;328.0;81.6
461;42861;492.0;81.56
462;42943;574.0;81.52
463;43025;328.0;81.48
464;43106;162.0;81.44
465;43187;243.0;81.4
466;43268;324.0;81.36
467;43349;486.0;81.32
468;43430;324.0;81.28
469;43511;648.0;81.24000000000001
470;43592;81.0;81.2
471;43673;81.0;81.16
472;43754;486.0;81.12
473;43835;648.0;81.08
474;43916;324.0;81.03999999999999
475;43997;324.0;81.0
476;44078;648.0;80.96000000000001
477;44159;324.0;80.92
478;44240;81.0;80.88
479;44321;243.0;80.84
480;44402;324.0;80.8
481;44483;486.0;80.76
482;44564;648.0;80.72
483;44645;405.0;80.68
484;44726;486.0;80.64
485;44807;648.0;80.6
486;44888;648.0;80.56
487;44969;648.0;80.52
488;45050;486.0;80.48
489;45130;320.0;80.44
490;45210;160.0;80.4
491;45290;400.0;80.36
492;45370;400.0;80.32
493;45450;80.0;80.28
494;45530;640.0;80.24000000000001
495;45610;480.0;80.2
496;45690;160.0;80.16
497;45770;240.0;80.12
498;45850;640.0;80.08
499;45930;480.0;80.03999999999999
500;46010;320.0;80.0
501;46090;320.0;80.0
502;46170;560.0;80.0
503;46250;640.0;80.0
504;46330;80.0;80.0
505;46410;80.0;80.0
506;46490;400.0;80.0
507;46570;240.0;80.0
508;46650;80.0;80.0
509;46730;320.0;80.0
510;46810;400.0;80.0
511;46890;480.0;80.0
512;46970;160.0;80.0
513;47050;160.0;80.0
514;47130;480.0;80.0
515;47210;400.0;80.0
516;47290;160.0;80.0
517;47370;560.0;80.0
518;47450;320.0;80.0
519;47530;560.0;80.0
520;47610;80.0;80.0
521;47690;400.0;80.0
522;47770;480.0;80.0
523;47850;160.0;80.0
524;47930;560.0;80.0
525;48010;480.0;80.0
526;48090;640.0;80.0
527;48170;160.0;80.0
528;48250;560.0;80.0
529;48330;240.0;80.0
530;48410;560.0;80.0
531;48490;160.0;80.0
532;48570;480.0;80.0
533;48650;80.0;80.0
534;48730;640.0;80.0
535;48810;320.0;80.0
536;48890;240.0;80.0
537;48970;240.0;80.0
538;49050;480.0;80.0
539;49130;640.0;80.0
540;49210;80.0;80.0
541;49290;240.0;80.0
542;49370;320.0;80.0
543;49450;400.0;80.0
544;49530;560.0;80.0
545;49610;480.0;80.0
546;49690;400.0;80.0
547;49770;240.0;80.0
548;49850;400.0;80.0
549;49930;560.0;80.0
550;50010;240.0;80.0
551;50090;400.0;80.0
552;50170;240.0;80.0
553;50250;560.0;80.0
554;50330;240.0;80.0
555;50410;400.0;80.0
556;50490;480.0;80.0
557;50570;480.0;80.0
558;50650;80.0;80.0
559;50730;560.0;80.0
560;50810;400.0;80.0
561;50890;240.0;80.0
562;50970;80.0;80.0
563;51050;400.0;80.0
564;51130;560.0;80.0
565;51210;160.0;80.0
566;51290;640.0;80.0
567;51370;400.0;80.0
568;51450;80.0;80.0
569;51530;480.0;80.0
570;51610;240.0;80.0
571;51690;400.0;80.0
572;51770;480.0;80.0
573;51850;480.0;80.0
574;51930;80.0;80.0
575;52010;560.0;80.0
576;52090;640.0;80.0
577;52170;560.0;80.0
578;52250;160.0;80.0
579;52330;400.0;80.0
580;52410;560.0;80.0
581;52490;640.0;80.0
582;52570;160.0;80.0
583;52650;80.0;80.0
584;52730;160.0;80.0
585;52810;560.0;80.0
586;52890;160.0;80.0
587;52970;80.0;80.0
588;53050;80.0;80.0
589;53130;80.0;80.0
590;53210;320.0;80.0
591;53290;560.0;80.0
592;53370;560.0;80.0
593;53450;240.0;80.0
594;53530;240.0;80.0
595;53610;480.0;80.0
596;53690;160.0;80.0
597;53770;640.0;80.0
598;53850;160.0;80.0
599;53930;320.0;80.0
600;54010;560.0;80.0
601;54090;160.0;80.0
602;54170;480.0;80.0
603;54250;240.0;80.0
604;54330;400.0;80.0
605;54410;480.0;80.0
606;54490;320.0;80.0
607;54570;480.0;80.0
608;54650;480.0;80.0
609;54730;80.0;80.0
610;54810;400.0;80.0
611;54890;480.0;80.0
612;54970;400.0;80.0
613;55050;240.0;80.0
614;55130;480.0;80.0
615;55210;240.0;80.0
616;55290;640.0;80.0
617;55370;160.0;80.0
618;55450;400.0;80.0
619;55530;320.0;80.0
620;55610;400.0;80.0
621;55690;160.0;80.0
622;55770;480.0;80.0
623;55850;320.0;80.0
624;55930;640.0;80.0
625;56010;320.0;80.0
626;56090;640.0;80.0
627;56170;320.0;80.0
628;56250;480.0;80.0
629;56330;480.0;80.0
630;56410;240.0;80.0
631;56490;400.0;80.0
632;56570;160.0;80.0
633;56650;560.0;80.0
634;56730;400.0;80.0
635;56810;80.0;80.0
636;56890;320.0;80.0
637;56970;320.0;80.0
638;57050;560.0;80.0
639;57130;80.0;80.0
640;57210;80.0;80.0
641;57290;480.0;80.0
642;57370;160.0;80.0
643;57450;400.0;80.0
644;57530;320.0;80.0
645;57610;240.0;80.0
646;57690;640.0;80.0
647;57770;560.0;80.0
648;57850;80.0;80.0
649;57930;480.0;80.0
650;58010;80.0;80.0
651;58090;560.0;80.0
652;58170;320.0;80.0
